"ID","LATITUDE","LONGITUDE","ELEMENT","FIRSTYEAR","LASTYEAR","STATE","STATE_NAME","RECORD_LENGTH"
"CA001192946",58.8333,-122.6,"TMAX",1957,2025,"BC","BRITISH COLUMBIA",69
"CA00119BLM0",58.4333,-130.0333,"TMAX",1993,2025,"BC","BRITISH COLUMBIA",33
"CA002100181",61.3667,-139.0333,"TMAX",2011,2025,"YT","YUKON TERRITORY",15
"CA002100301",62.1167,-136.2,"TMAX",1999,2025,"YT","YUKON TERRITORY",27
"CA002100402",64.05,-139.1333,"TMAX",1976,2025,"YT","YUKON TERRITORY",50
"CA002100518",62.2,-133.3833,"TMAX",1992,2025,"YT","YUKON TERRITORY",34
"CA002100630",60.7667,-137.5833,"TMAX",1944,2025,"YT","YUKON TERRITORY",82
"CA002100636",69.5667,-138.9167,"TMAX",1974,2025,"YT","YUKON TERRITORY",52
"CA002100660",69.1667,-140.15,"TMAX",1995,2025,"YT","YUKON TERRITORY",31
"CA002100682",69.6167,-140.2,"TMAX",1994,2024,"YT","YUKON TERRITORY",31
"CA002100693",63.25,-130.0333,"TMAX",1998,2025,"YT","YUKON TERRITORY",28
"CA002100697",68.8,-140.85,"TMAX",1997,2025,"YT","YUKON TERRITORY",29
"CA002100805",67.5667,-139.8333,"TMAX",1995,2025,"YT","YUKON TERRITORY",31
"CA002100840",61.0333,-137.05,"TMAX",1980,2024,"YT","YUKON TERRITORY",45
"CA002100935",66.9833,-136.2167,"TMAX",1995,2025,"YT","YUKON TERRITORY",31
"CA002100950",68.95,-137.2167,"TMAX",1957,2023,"YT","YUKON TERRITORY",67
"CA002100LRP",64.05,-139.1333,"TMAX",1995,2024,"YT","YUKON TERRITORY",30
"CA002101102",60.1667,-132.7333,"TMAX",1992,2025,"YT","YUKON TERRITORY",34
"CA002101204",60.1167,-128.8167,"TMAX",2002,2025,"YT","YUKON TERRITORY",24
"CA002101300",60.7167,-135.0667,"TMAX",1942,2025,"YT","YUKON TERRITORY",84
"CA002101303",60.7167,-135.0667,"TMAX",2012,2024,"YT","YUKON TERRITORY",13
"CA002101310",60.7333,-135.1,"TMAX",2009,2025,"YT","YUKON TERRITORY",17
"CA002200675",70.1667,-124.7167,"TMAX",1957,2023,"NT","NORTHWEST TERRITORIES",67
"CA002200824",67.05,-126.0833,"TMAX",1995,2025,"NT","NORTHWEST TERRITORIES",31
"CA002201022",65.2167,-123.4333,"TMAX",1999,2025,"NT","NORTHWEST TERRITORIES",27
"CA0022010H0",61.25,-124.4667,"TMAX",2001,2025,"NT","NORTHWEST TERRITORIES",25
"CA002201450",66.25,-128.65,"TMAX",1998,2025,"NT","NORTHWEST TERRITORIES",28
"CA002201579",60.2333,-123.4667,"TMAX",1996,2025,"NT","NORTHWEST TERRITORIES",30
"CA002201799",61.3167,-117.6,"TMAX",1994,2025,"NT","NORTHWEST TERRITORIES",32
"CA002201903",62.7167,-109.1667,"TMAX",1994,2025,"NT","NORTHWEST TERRITORIES",32
"CA002202102",61.7667,-121.2333,"TMAX",2003,2025,"NT","NORTHWEST TERRITORIES",23
"CA002202115",61.7667,-121.2333,"TMAX",1957,2025,"NT","NORTHWEST TERRITORIES",69
"CA002202200",60.0167,-111.9667,"TMAX",1943,2025,"NT","NORTHWEST TERRITORIES",83
"CA002202202",60.0333,-111.9333,"TMAX",2003,2025,"NT","NORTHWEST TERRITORIES",23
"CA002202351",63.6,-105.1333,"TMAX",1995,2025,"NT","NORTHWEST TERRITORIES",31
"CA002202400",60.8333,-115.7833,"TMAX",1943,2025,"NT","NORTHWEST TERRITORIES",83
"CA002202402",60.8333,-115.7833,"TMAX",2003,2025,"NT","NORTHWEST TERRITORIES",23
"CA002202560",61.9167,-113.7333,"TMAX",1994,2025,"NT","NORTHWEST TERRITORIES",32
"CA002202578",68.3167,-133.5167,"TMAX",2003,2025,"NT","NORTHWEST TERRITORIES",23
"CA002202678",63.1333,-117.25,"TMAX",1974,2025,"NT","NORTHWEST TERRITORIES",52
"CA002202801",65.2833,-126.8,"TMAX",1957,2025,"NT","NORTHWEST TERRITORIES",69
"CA002202810",65.2833,-126.75,"TMAX",2004,2025,"NT","NORTHWEST TERRITORIES",22
"CA002203058",69.35,-124.0833,"TMAX",1994,2025,"NT","NORTHWEST TERRITORIES",32
"CA002203095",69.6333,-135.45,"TMAX",1993,2025,"NT","NORTHWEST TERRITORIES",33
"CA002203342",61.9667,-127.2167,"TMAX",1995,2025,"NT","NORTHWEST TERRITORIES",31
"CA002203359",64.1167,-117.3333,"TMAX",1995,2025,"NT","NORTHWEST TERRITORIES",31
"CA002203914",69.4333,-133.0167,"TMAX",1995,2025,"NT","NORTHWEST TERRITORIES",31
"CA002203918",69.2,-122.3667,"TMAX",1998,2025,"NT","NORTHWEST TERRITORIES",28
"CA002204101",62.4667,-114.4333,"TMAX",2013,2024,"NT","NORTHWEST TERRITORIES",12
"CA002204300",61.25,-123.75,"TMAX",1957,2025,"NT","NORTHWEST TERRITORIES",69
"CA00220B68C",69.6,-130.9167,"TMAX",1992,2023,"NT","NORTHWEST TERRITORIES",32
"CA00220B6Q3",67.1833,-130.2333,"TMAX",1993,2025,"NT","NORTHWEST TERRITORIES",33
"CA00220CQHR",60.4333,-121.2333,"TMAX",1994,2025,"NT","NORTHWEST TERRITORIES",32
"CA00220LQJJ",68.9167,-133.95,"TMAX",1993,2024,"NT","NORTHWEST TERRITORIES",32
"CA00220N003",61.1333,-122.85,"TMAX",1998,2025,"NT","NORTHWEST TERRITORIES",28
"CA00220N004",63.6,-113.8667,"TMAX",1998,2023,"NT","NORTHWEST TERRITORIES",26
"CA00220N005",68.75,-133.5,"TMAX",1998,2025,"NT","NORTHWEST TERRITORIES",28
"CA002300427",61.1,-94.0667,"TMAX",2012,2025,"NU","NUNAVUT",14
"CA002300500",64.3,-96.0833,"TMAX",1946,2025,"NU","NUNAVUT",80
"CA002300501",64.3167,-96,"TMAX",2004,2025,"NU","NUNAVUT",22
"CA002300551",66.8333,-108.0167,"TMAX",1957,2025,"NU","NUNAVUT",69
"CA002300902",67.8167,-115.15,"TMAX",1957,2025,"NU","NUNAVUT",69
"CA002300904",67.8167,-115.1333,"TMAX",2004,2025,"NU","NUNAVUT",22
"CA002301000",64.2,-83.3667,"TMAX",1933,2025,"NU","NUNAVUT",93
"CA002301102",61.1333,-100.8833,"TMAX",1957,2025,"NU","NUNAVUT",69
"CA002301153",61.1,-94.0667,"TMAX",2004,2025,"NU","NUNAVUT",22
"CA002302337",68.6333,-95.85,"TMAX",2013,2025,"NU","NUNAVUT",13
"CA002302340",68.6333,-95.85,"TMAX",2003,2025,"NU","NUNAVUT",23
"CA002302370",68.3167,-100.0833,"TMAX",1959,2023,"NU","NUNAVUT",65
"CA002303093",68.4333,-89.7333,"TMAX",1993,2023,"NU","NUNAVUT",31
"CA002303094",68.5333,-89.8,"TMAX",2004,2025,"NU","NUNAVUT",22
"CA002303610",65.1,-102.4333,"TMAX",1980,2025,"NU","NUNAVUT",46
"CA002303685",68.8167,-93.4333,"TMAX",1957,2023,"NU","NUNAVUT",67
"CA00230N002",65.75,-111.25,"TMAX",1997,2025,"NU","NUNAVUT",29
"CA002400305",82.5,-62.3333,"TMAX",2004,2025,"NU","NUNAVUT",22
"CA002400404",73,-85.0167,"TMAX",1999,2025,"NU","NUNAVUT",27
"CA002400565",63.3333,-64.15,"TMAX",1959,2023,"NU","NUNAVUT",65
"CA002400570",67.5333,-63.7833,"TMAX",1957,2023,"NU","NUNAVUT",67
"CA002400573",67.55,-64.0333,"TMAX",2005,2025,"NU","NUNAVUT",21
"CA002400577",67.55,-64.0333,"TMAX",2004,2024,"NU","NUNAVUT",21
"CA002400600",69.1,-105.1333,"TMAX",1929,2025,"NU","NUNAVUT",97
"CA002400602",69.1,-105.1333,"TMAX",2002,2025,"NU","NUNAVUT",24
